Player,Season,PTS
Kyle Lowry,2006-07,4.3
Kyle Lowry,2007-08,5.0
Kyle Lowry,2008-09,5.7
Kyle Lowry,2009-10,6.2
Kyle Lowry,2010-11,9.1
Kyle Lowry,2011-12,11.5
Kyle Lowry,2012-13,14.3
Kyle Lowry,2013-14,15.2
Kyle Lowry,2014-15,16.2
Kyle Lowry,2015-16,17.5
Kyle Lowry,2016-17,22.4
Kyle Lowry,2017-18,18.2
Kyle Lowry,2018-19,16.2
Kyle Lowry,2019-20,19.4
Kyle Lowry,2020-21,17.2
Kyle Lowry,2021-22,15.3
Kyle Lowry,2022-23,12.4
Kyle Lowry,2023-24,10.8
DeMar DeRozan,2009-10,8.6
DeMar DeRozan,2010-11,17.2
DeMar DeRozan,2011-12,16.7
DeMar DeRozan,2012-13,22.7
DeMar DeRozan,2013-14,22.7
DeMar DeRozan,2014-15,20.1
DeMar DeRozan,2015-16,23.5
DeMar DeRozan,2016-17,27.3
DeMar DeRozan,2017-18,23.0
DeMar DeRozan,2018-19,21.2
DeMar DeRozan,2019-20,22.1
DeMar DeRozan,2020-21,21.6
DeMar DeRozan,2021-22,27.9
DeMar DeRozan,2022-23,24.5
DeMar DeRozan,2023-24,24.0
